RunId,iteration,Step,width,height,density,minority_pc,homophily,policy,follow_policy,perc_happy,segregation
1995,90,22,50,50,0.75,0.4,3,maximum_improvement,0.4,1.0,0.703926282051282
1996,90,26,50,50,0.75,0.4,3,maximum_improvement,0.5,1.0,0.7312734082397003
1997,90,22,50,50,0.75,0.4,3,maximum_improvement,0.6,1.0,0.7203276047261009
1998,90,18,50,50,0.75,0.4,3,maximum_improvement,0.7,1.0,0.722635494155154
1999,90,21,50,50,0.75,0.4,3,maximum_improvement,0.8,1.0,0.7389265242313705
2001,90,4,50,50,0.75,0.4,3,maximum_improvement,1.0,1.0,0.7405863367401829
2000,90,20,50,50,0.75,0.4,3,maximum_improvement,0.9,1.0,0.7490560949298813
1876,85,100,50,50,0.75,0.4,3,similar_neighborhood,0.6,0.9825673534072901,0.6419704173269942
2002,91,24,50,50,0.75,0.4,3,similar_neighborhood,0.0,1.0,0.6722936763129689
1792,81,100,50,50,0.75,0.4,3,similar_neighborhood,1.0,0.9728260869565217,0.6278532608695652
1918,87,100,50,50,0.75,0.4,3,similar_neighborhood,0.4,0.9862796833773088,0.6358839050131926
1960,89,100,50,50,0.75,0.4,3,similar_neighborhood,0.2,0.9931901519119958,0.6517810371922472
1855,84,100,50,50,0.75,0.4,3,similar_neighborhood,0.7,0.9786780383795309,0.6203358208955224
1939,88,100,50,50,0.75,0.4,3,similar_neighborhood,0.3,0.9898177920685959,0.6233922829581994
1981,90,100,50,50,0.75,0.4,3,similar_neighborhood,0.1,0.99572877736252,0.6441537640149493
1897,86,100,50,50,0.75,0.4,3,similar_neighborhood,0.5,0.9854368932038835,0.6480582524271845
2013,91,22,50,50,0.75,0.4,3,maximum_improvement,0.0,1.0,0.6509408602150538
1961,89,100,50,50,0.75,0.4,3,similar_neighborhood,0.3,0.9925808161102279,0.6608373078961314
2014,91,36,50,50,0.75,0.4,3,maximum_improvement,0.1,1.0,0.6543094218415417
1814,82,100,50,50,0.75,0.4,3,similar_neighborhood,1.0,0.9690005344735435,0.6222608230892571
2015,91,43,50,50,0.75,0.4,3,maximum_improvement,0.2,1.0,0.6736036519871106
2016,91,31,50,50,0.75,0.4,3,maximum_improvement,0.3,1.0,0.6876335470085471
2017,91,24,50,50,0.75,0.4,3,maximum_improvement,0.4,1.0,0.6976713062098501
2018,91,28,50,50,0.75,0.4,3,maximum_improvement,0.5,1.0,0.6914103923647932
1835,83,100,50,50,0.75,0.4,3,similar_neighborhood,0.9,0.9726541554959786,0.62171581769437
2019,91,27,50,50,0.75,0.4,3,maximum_improvement,0.6,1.0,0.7021021820117084
1856,84,100,50,50,0.75,0.4,3,similar_neighborhood,0.8,0.9762282091917591,0.6236133122028527
1940,88,100,50,50,0.75,0.4,3,similar_neighborhood,0.4,0.9875742841707186,0.6304700162074555
2020,91,20,50,50,0.75,0.4,3,maximum_improvement,0.7,1.0,0.7468152866242038
2022,91,23,50,50,0.75,0.4,3,maximum_improvement,0.9,1.0,0.7412114656571119
1898,86,100,50,50,0.75,0.4,3,similar_neighborhood,0.6,0.982521186440678,0.6308262711864406
2021,91,44,50,50,0.75,0.4,3,maximum_improvement,0.8,1.0,0.7330032119914347
2023,91,5,50,50,0.75,0.4,3,maximum_improvement,1.0,1.0,0.754177897574124
2003,91,100,50,50,0.75,0.4,3,similar_neighborhood,0.1,0.9967284623773174,0.6474918211559433
1919,87,100,50,50,0.75,0.4,3,similar_neighborhood,0.5,0.9841437632135307,0.6452167019027484
2024,92,31,50,50,0.75,0.4,3,similar_neighborhood,0.0,1.0,0.6598472449536279
1962,89,100,50,50,0.75,0.4,3,similar_neighborhood,0.4,0.990343347639485,0.6396190987124464
1982,90,100,50,50,0.75,0.4,3,similar_neighborhood,0.2,0.993103448275862,0.6408488063660478
1899,86,100,50,50,0.75,0.4,3,similar_neighborhood,0.7,0.9817792068595927,0.6467041800643086
2035,92,26,50,50,0.75,0.4,3,maximum_improvement,0.0,1.0,0.6627345844504021
2038,92,23,50,50,0.75,0.4,3,maximum_improvement,0.3,1.0,0.691015838339705
2037,92,23,50,50,0.75,0.4,3,maximum_improvement,0.2,1.0,0.674350821409645
2039,92,26,50,50,0.75,0.4,3,maximum_improvement,0.4,1.0,0.7123870281765019
2036,92,31,50,50,0.75,0.4,3,maximum_improvement,0.1,1.0,0.6791578389830508
2040,92,34,50,50,0.75,0.4,3,maximum_improvement,0.5,1.0,0.7271398192450824
2042,92,25,50,50,0.75,0.4,3,maximum_improvement,0.7,1.0,0.7238157894736842
2045,92,4,50,50,0.75,0.4,3,maximum_improvement,1.0,1.0,0.7727388860500767
2044,92,19,50,50,0.75,0.4,3,maximum_improvement,0.9,1.0,0.7367505353319058
1857,84,100,50,50,0.75,0.4,3,similar_neighborhood,0.9,0.9740190880169671,0.6292417815482503
2043,92,30,50,50,0.75,0.4,3,maximum_improvement,0.8,1.0,0.7410617551462622
1920,87,100,50,50,0.75,0.4,3,similar_neighborhood,0.6,0.9814716781365802,0.6356537850714664
2041,92,58,50,50,0.75,0.4,3,maximum_improvement,0.6,1.0,0.7254511677282378
2025,92,100,50,50,0.75,0.4,3,similar_neighborhood,0.1,0.9984251968503937,0.668241469816273
1941,88,100,50,50,0.75,0.4,3,similar_neighborhood,0.5,0.9839486356340289,0.6336276083467095
2046,93,24,50,50,0.75,0.4,3,similar_neighborhood,0.0,1.0,0.6565949227373068
1983,90,100,50,50,0.75,0.4,3,similar_neighborhood,0.3,0.9914392723381488,0.6599785981808454
1942,88,100,50,50,0.75,0.4,3,similar_neighborhood,0.6,0.9833958221746116,0.6352437064809855
1878,85,100,50,50,0.75,0.4,3,similar_neighborhood,0.8,0.9746903607969843,0.6177975228863759
2057,93,23,50,50,0.75,0.4,3,maximum_improvement,0.0,1.0,0.6502372166578808
2004,91,100,50,50,0.75,0.4,3,similar_neighborhood,0.2,0.9926043317485472,0.6578182778658215
2058,93,31,50,50,0.75,0.4,3,maximum_improvement,0.1,1.0,0.6554478784704033
1984,90,100,50,50,0.75,0.4,3,similar_neighborhood,0.4,0.9899789029535865,0.6280327004219409
2005,91,100,50,50,0.75,0.4,3,similar_neighborhood,0.3,0.9936373276776246,0.6459437963944857
1836,83,100,50,50,0.75,0.4,3,similar_neighborhood,1.0,0.9652631578947368,0.6188157894736842
2059,93,23,50,50,0.75,0.4,3,maximum_improvement,0.2,1.0,0.6790254237288136
1964,89,100,50,50,0.75,0.4,3,similar_neighborhood,0.6,0.9869246861924686,0.6361140167364017
2060,93,19,50,50,0.75,0.4,3,maximum_improvement,0.3,1.0,0.6908237747653806
2061,93,24,50,50,0.75,0.4,3,maximum_improvement,0.4,1.0,0.7053619302949061
2062,93,24,50,50,0.75,0.4,3,maximum_improvement,0.5,1.0,0.707313829787234
2063,93,25,50,50,0.75,0.4,3,maximum_improvement,0.6,1.0,0.7280701754385965
1921,87,100,50,50,0.75,0.4,3,similar_neighborhood,0.7,0.9760765550239234,0.6210792131844763
2026,92,100,50,50,0.75,0.4,3,similar_neighborhood,0.2,0.9951430113329736,0.6449001618996222
2066,93,18,50,50,0.75,0.4,3,maximum_improvement,0.9,1.0,0.7609919571045577
2065,93,31,50,50,0.75,0.4,3,maximum_improvement,0.8,1.0,0.7391476971942826
2067,93,4,50,50,0.75,0.4,3,maximum_improvement,1.0,1.0,0.7368913857677902
2064,93,36,50,50,0.75,0.4,3,maximum_improvement,0.7,1.0,0.7341483073616335
2068,94,34,50,50,0.75,0.4,3,similar_neighborhood,0.0,1.0,0.6554699946893255
2047,93,100,50,50,0.75,0.4,3,similar_neighborhood,0.1,0.997867803837953,0.6547174840085288
1963,89,100,50,50,0.75,0.4,3,similar_neighborhood,0.5,0.9838362068965517,0.634698275862069
1900,86,100,50,50,0.75,0.4,3,similar_neighborhood,0.8,0.9734466277217206,0.6263940520446096
1901,86,100,50,50,0.75,0.4,3,similar_neighborhood,0.9,0.9752240379546653,0.6307327358987875
1943,88,100,50,50,0.75,0.4,3,similar_neighborhood,0.7,0.9806555615260613,0.642530897367007
1985,90,100,50,50,0.75,0.4,3,similar_neighborhood,0.5,0.9845908607863975,0.6308448459086079
1858,84,100,50,50,0.75,0.4,3,similar_neighborhood,1.0,0.9693486590038314,0.6287629994526546
2007,91,100,50,50,0.75,0.4,3,similar_neighborhood,0.5,0.9898558462359851,0.6353443673251469
2080,94,23,50,50,0.75,0.4,3,maximum_improvement,0.1,1.0,0.6709076600209863
2082,94,20,50,50,0.75,0.4,3,maximum_improvement,0.3,1.0,0.6893421052631579
2079,94,45,50,50,0.75,0.4,3,maximum_improvement,0.0,1.0,0.6659528907922913
2081,94,28,50,50,0.75,0.4,3,maximum_improvement,0.2,1.0,0.6932864103952355
2083,94,33,50,50,0.75,0.4,3,maximum_improvement,0.4,1.0,0.7093994778067885
2084,94,38,50,50,0.75,0.4,3,maximum_improvement,0.5,1.0,0.7106876332622601
1879,85,100,50,50,0.75,0.4,3,similar_neighborhood,0.9,0.9682203389830508,0.6152012711864406
2086,94,17,50,50,0.75,0.4,3,maximum_improvement,0.7,1.0,0.7233138608603292
2085,94,34,50,50,0.75,0.4,3,maximum_improvement,0.6,1.0,0.7329093799682035
1965,89,100,50,50,0.75,0.4,3,similar_neighborhood,0.7,0.984930032292788,0.6360333692142088
2089,94,3,50,50,0.75,0.4,3,maximum_improvement,1.0,1.0,0.7417067950775816
2088,94,17,50,50,0.75,0.4,3,maximum_improvement,0.9,1.0,0.7335369091874668
1986,90,100,50,50,0.75,0.4,3,similar_neighborhood,0.6,0.9835718071012188,0.6254636989931107
2090,95,35,50,50,0.75,0.4,3,similar_neighborhood,0.0,1.0,0.65539430449069
2087,94,34,50,50,0.75,0.4,3,maximum_improvement,0.8,1.0,0.7431377825618946
1923,87,100,50,50,0.75,0.4,3,similar_neighborhood,0.9,0.973361747469366,0.6154768247202983
1880,85,100,50,50,0.75,0.4,3,similar_neighborhood,1.0,0.9702702702702702,0.6228378378378379
2048,93,100,50,50,0.75,0.4,3,similar_neighborhood,0.2,0.994098712446352,0.6421673819742489
2069,94,100,50,50,0.75,0.4,3,similar_neighborhood,0.1,0.9946723494938732,0.6542354821523708
1922,87,100,50,50,0.75,0.4,3,similar_neighborhood,0.8,0.9704173269941891,0.6242736397253037
2006,91,100,50,50,0.75,0.4,3,similar_neighborhood,0.4,0.9859535386277688,0.6408698001080497
2101,95,42,50,50,0.75,0.4,3,maximum_improvement,0.0,1.0,0.6528532608695652
2027,92,100,50,50,0.75,0.4,3,similar_neighborhood,0.3,0.9872408293460925,0.6379585326953748
2049,93,100,50,50,0.75,0.4,3,similar_neighborhood,0.3,0.993059263214095,0.6469567538707955
2102,95,20,50,50,0.75,0.4,3,maximum_improvement,0.1,1.0,0.6759894459102902
2103,95,28,50,50,0.75,0.4,3,maximum_improvement,0.2,1.0,0.6726599682707562
2104,95,39,50,50,0.75,0.4,3,maximum_improvement,0.3,1.0,0.6935740839086564
2106,95,25,50,50,0.75,0.4,3,maximum_improvement,0.5,1.0,0.7204692556634305
2070,94,100,50,50,0.75,0.4,3,similar_neighborhood,0.2,0.9946836788942052,0.6608187134502924
2091,95,100,50,50,0.75,0.4,3,similar_neighborhood,0.1,0.9983879634605051,0.6543524986566363
2105,95,44,50,50,0.75,0.4,3,maximum_improvement,0.4,1.0,0.7154800431499461
2107,95,44,50,50,0.75,0.4,3,maximum_improvement,0.6,1.0,0.7258842443729904
1944,88,100,50,50,0.75,0.4,3,similar_neighborhood,0.8,0.9768318965517241,0.6287715517241379
1945,88,100,50,50,0.75,0.4,3,similar_neighborhood,0.9,0.9732620320855615,0.6131016042780749
2108,95,15,50,50,0.75,0.4,3,maximum_improvement,0.7,1.0,0.7359117490696439
1924,87,100,50,50,0.75,0.4,3,similar_neighborhood,1.0,0.9706979222163026,0.6234683004794885
2111,95,3,50,50,0.75,0.4,3,maximum_improvement,1.0,1.0,0.7284989316239316
2112,96,17,50,50,0.75,0.4,3,similar_neighborhood,0.0,1.0,0.6516764236295902
2110,95,15,50,50,0.75,0.4,3,maximum_improvement,0.9,1.0,0.7404157667386609
2109,95,29,50,50,0.75,0.4,3,maximum_improvement,0.8,1.0,0.7473147153598282
2028,92,100,50,50,0.75,0.4,3,similar_neighborhood,0.4,0.9855923159018143,0.6431430096051227
1902,86,100,50,50,0.75,0.4,3,similar_neighborhood,1.0,0.9668803418803419,0.6176549145299145
1966,89,100,50,50,0.75,0.4,3,similar_neighborhood,0.8,0.9759100642398287,0.6268736616702355
2029,92,100,50,50,0.75,0.4,3,similar_neighborhood,0.5,0.9856991525423728,0.6419491525423728
2123,96,26,50,50,0.75,0.4,3,maximum_improvement,0.0,1.0,0.6594804499196572
2124,96,23,50,50,0.75,0.4,3,maximum_improvement,0.1,1.0,0.6629669734704927
1967,89,100,50,50,0.75,0.4,3,similar_neighborhood,0.9,0.9780396357793251,0.6344402785216926
2127,96,21,50,50,0.75,0.4,3,maximum_improvement,0.4,1.0,0.7049092849519744
2126,96,20,50,50,0.75,0.4,3,maximum_improvement,0.3,1.0,0.7129084092126406
2008,91,100,50,50,0.75,0.4,3,similar_neighborhood,0.6,0.9835718071012188,0.6487811340752517
2125,96,36,50,50,0.75,0.4,3,maximum_improvement,0.2,1.0,0.694206008583691
2130,96,25,50,50,0.75,0.4,3,maximum_improvement,0.7,1.0,0.7092651757188498
2128,96,29,50,50,0.75,0.4,3,maximum_improvement,0.5,1.0,0.7053666312433581
2131,96,26,50,50,0.75,0.4,3,maximum_improvement,0.8,1.0,0.7405434203516249
2129,96,34,50,50,0.75,0.4,3,maximum_improvement,0.6,1.0,0.7195927352779307
2133,96,4,50,50,0.75,0.4,3,maximum_improvement,1.0,1.0,0.7599400871459695
2132,96,19,50,50,0.75,0.4,3,maximum_improvement,0.9,1.0,0.7456780118854673
2009,91,100,50,50,0.75,0.4,3,similar_neighborhood,0.7,0.9823623730625334,0.6235970069481561
2050,93,100,50,50,0.75,0.4,3,similar_neighborhood,0.4,0.9871313672922252,0.6427613941018767
1987,90,100,50,50,0.75,0.4,3,similar_neighborhood,0.7,0.9781449893390192,0.6321961620469083
2134,97,32,50,50,0.75,0.4,3,similar_neighborhood,0.0,1.0,0.6491013071895425
1988,90,100,50,50,0.75,0.4,3,similar_neighborhood,0.8,0.9795918367346939,0.6204350161117078
2030,92,100,50,50,0.75,0.4,3,similar_neighborhood,0.6,0.984766050054407,0.6292165397170838
2092,95,100,50,50,0.75,0.4,3,similar_neighborhood,0.2,0.9952581664910432,0.6571390937829295
2113,96,100,50,50,0.75,0.4,3,similar_neighborhood,0.1,0.9978914074855034,0.654322614654718
2051,93,100,50,50,0.75,0.4,3,similar_neighborhood,0.5,0.9892588614393125,0.630907626208378
2146,97,23,50,50,0.75,0.4,3,maximum_improvement,0.1,1.0,0.6642932489451476
2147,97,27,50,50,0.75,0.4,3,maximum_improvement,0.2,1.0,0.6604155423637345
2145,97,31,50,50,0.75,0.4,3,maximum_improvement,0.0,1.0,0.6643167028199566
2148,97,26,50,50,0.75,0.4,3,maximum_improvement,0.3,1.0,0.6882650345928686
2071,94,100,50,50,0.75,0.4,3,similar_neighborhood,0.3,0.9883905013192612,0.6596306068601583
2150,97,18,50,50,0.75,0.4,3,maximum_improvement,0.5,1.0,0.7082449628844114
2149,97,36,50,50,0.75,0.4,3,maximum_improvement,0.4,1.0,0.705937167199148
2151,97,39,50,50,0.75,0.4,3,maximum_improvement,0.6,1.0,0.7275040171397965
2072,94,100,50,50,0.75,0.4,3,similar_neighborhood,0.4,0.9893842887473461,0.6308386411889597
1946,88,100,50,50,0.75,0.4,3,similar_neighborhood,1.0,0.9704016913319239,0.6284355179704016
2152,97,37,50,50,0.75,0.4,3,maximum_improvement,0.7,1.0,0.7268194070080862
2153,97,48,50,50,0.75,0.4,3,maximum_improvement,0.8,1.0,0.7497295835586804
2154,97,17,50,50,0.75,0.4,3,maximum_improvement,0.9,1.0,0.7520325203252033
2156,98,19,50,50,0.75,0.4,3,similar_neighborhood,0.0,1.0,0.659984067976633
2155,97,5,50,50,0.75,0.4,3,maximum_improvement,1.0,1.0,0.7625
2052,93,100,50,50,0.75,0.4,3,similar_neighborhood,0.6,0.9875876956287102,0.618051807879115
2073,94,100,50,50,0.75,0.4,3,similar_neighborhood,0.5,0.98914223669924,0.6245928338762216
2135,97,100,50,50,0.75,0.4,3,similar_neighborhood,0.1,0.9957916885849553,0.6714886901630721
2167,98,19,50,50,0.75,0.4,3,maximum_improvement,0.0,1.0,0.6642287234042553
2093,95,100,50,50,0.75,0.4,3,similar_neighborhood,0.3,0.9905263157894737,0.6438157894736842
2168,98,21,50,50,0.75,0.4,3,maximum_improvement,0.1,1.0,0.660101822079314
2169,98,25,50,50,0.75,0.4,3,maximum_improvement,0.2,1.0,0.6803561935140883
2010,91,100,50,50,0.75,0.4,3,similar_neighborhood,0.8,0.9770299145299145,0.6185897435897436
2094,95,100,50,50,0.75,0.4,3,similar_neighborhood,0.4,0.9904407859798194,0.6412639405204461
2170,98,30,50,50,0.75,0.4,3,maximum_improvement,0.3,1.0,0.6906216790648246
2171,98,24,50,50,0.75,0.4,3,maximum_improvement,0.4,1.0,0.7015209125475285
2172,98,22,50,50,0.75,0.4,3,maximum_improvement,0.5,1.0,0.7101970181043663
1989,90,100,50,50,0.75,0.4,3,similar_neighborhood,0.9,0.9762282091917591,0.6131801373481247
2173,98,23,50,50,0.75,0.4,3,maximum_improvement,0.6,1.0,0.7181053203040174
2136,97,100,50,50,0.75,0.4,3,similar_neighborhood,0.2,0.9962606837606838,0.6505074786324786
2031,92,100,50,50,0.75,0.4,3,similar_neighborhood,0.7,0.9796573875802997,0.6272751605995718
2174,98,19,50,50,0.75,0.4,3,maximum_improvement,0.7,1.0,0.7397986221515633
2032,92,100,50,50,0.75,0.4,3,similar_neighborhood,0.8,0.977510460251046,0.6323221757322176
2177,98,4,50,50,0.75,0.4,3,maximum_improvement,1.0,1.0,0.7579533404029692
2114,96,100,50,50,0.75,0.4,3,similar_neighborhood,0.2,0.9909429941395844,0.6553010122535962
2175,98,24,50,50,0.75,0.4,3,maximum_improvement,0.8,1.0,0.7649684873949579
2178,99,25,50,50,0.75,0.4,3,similar_neighborhood,0.0,1.0,0.655602761550717
2176,98,18,50,50,0.75,0.4,3,maximum_improvement,0.9,1.0,0.7615238611713666
1968,89,100,50,50,0.75,0.4,3,similar_neighborhood,1.0,0.9713668287412209,0.6350621285791465
2157,98,100,50,50,0.75,0.4,3,similar_neighborhood,0.1,0.9951377633711507,0.6528903295515938
2189,99,17,50,50,0.75,0.4,3,maximum_improvement,0.0,1.0,0.6754385964912281
2074,94,100,50,50,0.75,0.4,3,similar_neighborhood,0.6,0.984516817939135,0.6338761345435131
2115,96,100,50,50,0.75,0.4,3,similar_neighborhood,0.3,0.9890167364016736,0.6374215481171548
