RunId,iteration,Step,width,height,density,minority_pc,homophily,k,policy,follow_policy,perc_happy,segregation
5302,80,28,50,50,0.75,0.4,3,1,minimum_improvement,0.0,1.0,0.6528072033898306
5248,79,100,50,50,0.75,0.4,3,1,recently_emptied,0.1,0.9956850053937433,0.6533171521035599
4926,74,100,50,50,0.75,0.4,3,1,recently_emptied,0.9,0.9644562334217507,0.6352785145888594
5304,80,22,50,50,0.75,0.4,3,1,minimum_improvement,0.2,1.0,0.6358350951374208
5303,80,45,50,50,0.75,0.4,3,1,minimum_improvement,0.1,1.0,0.6473214285714286
5270,79,100,50,50,0.75,0.4,3,1,different_neighborhood,0.1,0.9947943779281624,0.676730869338886
5305,80,25,50,50,0.75,0.4,3,1,minimum_improvement,0.3,1.0,0.6336344314558979
5272,79,100,50,50,0.75,0.4,3,1,different_neighborhood,0.3,0.996292372881356,0.6546610169491526
5230,79,100,50,50,0.75,0.4,3,1,distance_relevance,0.5,0.9567333693888589,0.5586803677663602
5306,80,32,50,50,0.75,0.4,3,1,minimum_improvement,0.4,1.0,0.6382696390658175
5275,79,100,50,50,0.75,0.4,3,1,different_neighborhood,0.6,0.9962845010615711,0.6671974522292994
5308,80,34,50,50,0.75,0.4,3,1,minimum_improvement,0.6,1.0,0.6091174906964381
5307,80,63,50,50,0.75,0.4,3,1,minimum_improvement,0.5,1.0,0.6396034297963559
5310,80,18,50,50,0.75,0.4,3,1,minimum_improvement,0.8,1.0,0.5793103448275863
5309,80,21,50,50,0.75,0.4,3,1,minimum_improvement,0.7,1.0,0.6010526315789474
5313,80,19,50,50,0.75,0.4,3,1,recently_emptied,0.0,1.0,0.6627631578947368
5312,80,7,50,50,0.75,0.4,3,1,minimum_improvement,1.0,1.0,0.5464777542372882
5314,80,24,50,50,0.75,0.4,3,1,recently_emptied,0.1,1.0,0.6489193463363205
5274,79,100,50,50,0.75,0.4,3,1,different_neighborhood,0.5,0.993660855784469,0.6596671949286846
5292,80,100,50,50,0.75,0.4,3,1,distance_relevance,0.1,0.9867934495509773,0.6413100898045431
5311,80,100,50,50,0.75,0.4,3,1,minimum_improvement,0.9,0.9994734070563455,0.5720115850447604
5273,79,100,50,50,0.75,0.4,3,1,different_neighborhood,0.4,0.9935794542536116,0.6574371321562332
5276,79,100,50,50,0.75,0.4,3,1,different_neighborhood,0.7,0.9946865037194474,0.67096174282678
5232,79,100,50,50,0.75,0.4,3,1,distance_relevance,0.7,0.9480171489817792,0.5397909967845659
5271,79,100,50,50,0.75,0.4,3,1,different_neighborhood,0.2,0.9896514161220044,0.6461056644880174
5231,79,100,50,50,0.75,0.4,3,1,distance_relevance,0.6,0.9457735247208932,0.5671185539606592
5324,80,13,50,50,0.75,0.4,3,1,similar_neighborhood,0.0,1.0,0.6606100795755968
5277,79,100,50,50,0.75,0.4,3,1,different_neighborhood,0.8,0.995253164556962,0.6778744725738397
5293,80,100,50,50,0.75,0.4,3,1,distance_relevance,0.2,0.9834313201496526,0.6270710849812934
5325,80,36,50,50,0.75,0.4,3,1,similar_neighborhood,0.1,1.0,0.6691449814126395
5327,80,22,50,50,0.75,0.4,3,1,similar_neighborhood,0.3,1.0,0.7025537634408602
5328,80,22,50,50,0.75,0.4,3,1,similar_neighborhood,0.4,1.0,0.7199842022116903
5326,80,47,50,50,0.75,0.4,3,1,similar_neighborhood,0.2,1.0,0.7063937934724451
5057,76,100,50,50,0.75,0.4,3,1,recently_emptied,0.8,0.9757543103448276,0.6477640086206896
5329,80,23,50,50,0.75,0.4,3,1,similar_neighborhood,0.5,1.0,0.7203753351206434
5330,80,31,50,50,0.75,0.4,3,1,similar_neighborhood,0.6,1.0,0.7475104821802935
5331,80,27,50,50,0.75,0.4,3,1,similar_neighborhood,0.7,1.0,0.7233584499461787
5279,79,100,50,50,0.75,0.4,3,1,different_neighborhood,1.0,0.993048128342246,0.6914438502673796
5334,80,4,50,50,0.75,0.4,3,1,similar_neighborhood,1.0,1.0,0.7686705508474576
5333,80,22,50,50,0.75,0.4,3,1,similar_neighborhood,0.9,1.0,0.7368137782561894
5335,80,38,50,50,0.75,0.4,3,1,different_neighborhood,0.0,1.0,0.6569736133548735
5332,80,32,50,50,0.75,0.4,3,1,similar_neighborhood,0.8,1.0,0.7564814814814815
5278,79,100,50,50,0.75,0.4,3,1,different_neighborhood,0.9,0.9902964959568733,0.6827493261455526
5234,79,100,50,50,0.75,0.4,3,1,distance_relevance,0.9,0.9351063829787234,0.5154255319148936
5346,81,16,50,50,0.75,0.4,3,1,random,0.0,1.0,0.6557266342517558
5235,79,100,50,50,0.75,0.4,3,1,distance_relevance,1.0,0.9321503131524008,0.5204853862212944
5348,81,37,50,50,0.75,0.4,3,1,random,0.2,1.0,0.6530149413020278
5347,81,36,50,50,0.75,0.4,3,1,random,0.1,1.0,0.6493770314192849
5294,80,100,50,50,0.75,0.4,3,1,distance_relevance,0.3,0.9677077818951826,0.6136844891476972
5233,79,100,50,50,0.75,0.4,3,1,distance_relevance,0.8,0.9305184393372528,0.535542490646713
5185,78,100,50,50,0.75,0.4,3,1,recently_emptied,0.4,0.9854760623991393,0.6625874125874126
5349,81,28,50,50,0.75,0.4,3,1,random,0.3,1.0,0.6484751203852327
5351,81,22,50,50,0.75,0.4,3,1,random,0.5,1.0,0.6422505307855626
5350,81,25,50,50,0.75,0.4,3,1,random,0.4,1.0,0.6512023000522739
5353,81,26,50,50,0.75,0.4,3,1,random,0.7,1.0,0.6602972399150743
5352,81,26,50,50,0.75,0.4,3,1,random,0.6,1.0,0.6601351351351351
5251,79,100,50,50,0.75,0.4,3,1,recently_emptied,0.4,0.9897904352498657,0.6612036539494895
5354,81,18,50,50,0.75,0.4,3,1,random,0.8,1.0,0.6587601078167116
5356,81,27,50,50,0.75,0.4,3,1,random,1.0,1.0,0.6666666666666666
5295,80,100,50,50,0.75,0.4,3,1,distance_relevance,0.4,0.9612320764737121,0.5894848645778014
5355,81,26,50,50,0.75,0.4,3,1,random,0.9,1.0,0.664832285115304
5357,81,20,50,50,0.75,0.4,3,1,distance_relevance,0.0,1.0,0.662891046386192
5338,80,100,50,50,0.75,0.4,3,1,different_neighborhood,0.3,0.9963369963369964,0.6593406593406593
5336,80,100,50,50,0.75,0.4,3,1,different_neighborhood,0.1,0.9941860465116279,0.6420454545454546
5186,78,100,50,50,0.75,0.4,3,1,recently_emptied,0.5,0.9836497890295358,0.6458333333333334
5368,81,29,50,50,0.75,0.4,3,1,minimum_improvement,0.0,1.0,0.660154173312068
5337,80,100,50,50,0.75,0.4,3,1,different_neighborhood,0.2,0.9931180518793012,0.6315510852302806
5369,81,34,50,50,0.75,0.4,3,1,minimum_improvement,0.1,1.0,0.6420126116657908
5297,80,100,50,50,0.75,0.4,3,1,distance_relevance,0.6,0.9536247334754797,0.5679637526652452
5370,81,21,50,50,0.75,0.4,3,1,minimum_improvement,0.2,1.0,0.6408602150537634
5340,80,100,50,50,0.75,0.4,3,1,different_neighborhood,0.5,0.9946695095948828,0.658182302771855
5341,80,100,50,50,0.75,0.4,3,1,different_neighborhood,0.6,0.9962365591397849,0.6776881720430108
5372,81,28,50,50,0.75,0.4,3,1,minimum_improvement,0.4,1.0,0.635477843032568
5296,80,100,50,50,0.75,0.4,3,1,distance_relevance,0.5,0.9497594869053981,0.5656066274719401
